id,display_id,title,step_no,step_name,substep_name,difficulty,leetcode_url,tuf_article_url
"longest-subarray-with-given-sum-k-positives","Q-2836","Longest subarray with given sum K(positives)",3,"Solve Problems on Arrays [Easy -> Medium -> Hard]","Easy","Medium","","https://takeuforward.org/data-structure/longest-subarray-with-given-sum-k/"
"longest-subarray-with-sum-k","Q-564","Longest subarray with sum K",3,"Solve Problems on Arrays [Easy -> Medium -> Hard]","Easy","Medium","","https://takeuforward.org/arrays/longest-subarray-with-sum-k-postives-and-negatives"
"maximum-consecutive-ones","Q-42","Maximum Consecutive Ones",3,"Solve Problems on Arrays [Easy -> Medium -> Hard]","Easy","Easy","https://leetcode.com/problems/max-consecutive-ones/","https://takeuforward.org/data-structure/count-maximum-consecutive-ones-in-the-array/"
"move-zeros-to-end","Q-46","Move Zeros to End",3,"Solve Problems on Arrays [Easy -> Medium -> Hard]","Easy","Easy","https://leetcode.com/problems/move-zeroes/","https://takeuforward.org/data-structure/move-all-zeros-to-the-end-of-the-array/"
"remove-duplicates-from-sorted-array","Q-2764","Remove duplicates from Sorted array",3,"Solve Problems on Arrays [Easy -> Medium -> Hard]","Easy","Easy","https://leetcode.com/problems/remove-duplicates-from-sorted-array/#:~:text=Input%3A%20nums%20%3D%20%5B0%2C,%2C%203%2C%20and%204%20respectively.","https://takeuforward.org/data-structure/remove-duplicates-in-place-from-sorted-array/"
"second-largest-element","Q-43","Second Largest Element",3,"Solve Problems on Arrays [Easy -> Medium -> Hard]","Easy","Easy","","https://takeuforward.org/data-structure/find-second-smallest-and-second-largest-element-in-an-array/"
"union-of-two-sorted-arrays","Q-48","Union of two sorted arrays",3,"Solve Problems on Arrays [Easy -> Medium -> Hard]","Easy","Easy","","https://takeuforward.org/data-structure/union-of-two-sorted-arrays/"
"count-subarrays-with-given-sum","Q-561","Count subarrays with given sum",3,"Solve Problems on Arrays [Easy -> Medium -> Hard]","Medium","Medium","https://leetcode.com/problems/subarray-sum-equals-k/","https://takeuforward.org/arrays/count-subarray-sum-equals-k/"
"kadane-s-algorithm","Q-29","Kadane's Algorithm",3,"Solve Problems on Arrays [Easy -> Medium -> Hard]","Medium","Medium","https://leetcode.com/problems/maximum-subarray/","https://takeuforward.org/data-structure/kadanes-algorithm-maximum-subarray-sum-in-an-array/"
"leaders-in-an-array","Q-30","Leaders in an Array",3,"Solve Problems on Arrays [Easy -> Medium -> Hard]","Medium","Medium","","https://takeuforward.org/data-structure/leaders-in-an-array/"
"longest-consecutive-sequence-in-an-array","Q-2835","Longest Consecutive Sequence in an Array",3,"Solve Problems on Arrays [Easy -> Medium -> Hard]","Medium","Medium","https://leetcode.com/problems/longest-consecutive-sequence/solution/","https://takeuforward.org/data-structure/longest-consecutive-sequence-in-an-array/"
"majority-element-i","Q-22","Majority Element-I",3,"Solve Problems on Arrays [Easy -> Medium -> Hard]","Medium","Easy","https://leetcode.com/problems/majority-element/","https://takeuforward.org/data-structure/find-the-majority-element-that-occurs-more-than-n-2-times/"
"next-permutation","Q-31","Next Permutation",3,"Solve Problems on Arrays [Easy -> Medium -> Hard]","Medium","Medium","https://leetcode.com/problems/next-permutation/","https://takeuforward.org/data-structure/next_permutation-find-next-lexicographically-greater-permutation/"
"print-subarray-with-maximum-subarray-sum-extended-version-of-above-problem","Q-2761","Print subarray with maximum subarray sum (extended version of above problem)",3,"Solve Problems on Arrays [Easy -> Medium -> Hard]","Medium","Medium","","https://takeuforward.org/data-structure/kadanes-algorithm-maximum-subarray-sum-in-an-array/"
"print-the-matrix-in-spiral-manner","Q-33","Print the matrix in spiral manner",3,"Solve Problems on Arrays [Easy -> Medium -> Hard]","Medium","Medium","https://leetcode.com/problems/spiral-matrix/","https://takeuforward.org/data-structure/spiral-traversal-of-matrix/"
"rearrange-array-elements-by-sign","Q-34","Rearrange array elements by sign",3,"Solve Problems on Arrays [Easy -> Medium -> Hard]","Medium","Medium","https://leetcode.com/problems/rearrange-array-elements-by-sign/","https://takeuforward.org/arrays/rearrange-array-elements-by-sign/"
"rotate-matrix-by-90-degrees","Q-35","Rotate matrix by 90 degrees",3,"Solve Problems on Arrays [Easy -> Medium -> Hard]","Medium","Medium","https://leetcode.com/problems/rotate-image/","https://takeuforward.org/data-structure/rotate-image-by-90-degree/"
"set-matrix-zeroes","Q-911","Set Matrix Zeroes",3,"Solve Problems on Arrays [Easy -> Medium -> Hard]","Medium","Medium","https://leetcode.com/problems/set-matrix-zeroes/","https://takeuforward.org/data-structure/set-matrix-zero/"
"sort-an-array-of-0-s-1-s-and-2-s","Q-2762","Sort an array of 0's 1's and 2's",3,"Solve Problems on Arrays [Easy -> Medium -> Hard]","Medium","Medium","https://leetcode.com/problems/sort-colors/","https://takeuforward.org/data-structure/sort-an-array-of-0s-1s-and-2s/"
"stock-buy-and-sell","Q-2798","Stock Buy and Sell",3,"Solve Problems on Arrays [Easy -> Medium -> Hard]","Medium","Medium","https://leetcode.com/problems/best-time-to-buy-and-sell-stock/","https://takeuforward.org/data-structure/stock-buy-and-sell/"
"3-sum","Q-27","3 Sum",3,"Solve Problems on Arrays [Easy -> Medium -> Hard]","Hard","Medium","https://leetcode.com/problems/3sum/","https://takeuforward.org/data-structure/3-sum-find-triplets-that-add-up-to-a-zero/"
"4-sum","Q-28","4 Sum",3,"Solve Problems on Arrays [Easy -> Medium -> Hard]","Hard","Medium","https://leetcode.com/problems/4sum/","https://takeuforward.org/data-structure/4-sum-find-quads-that-add-up-to-a-target-value/"
"count-inversions","Q-20","Count Inversions",3,"Solve Problems on Arrays [Easy -> Medium -> Hard]","Hard","Hard","","https://takeuforward.org/data-structure/count-inversions-in-an-array"
"count-subarrays-with-given-xor-k","Q-562","Count subarrays with given xor K",3,"Solve Problems on Arrays [Easy -> Medium -> Hard]","Hard","Hard","","https://takeuforward.org/data-structure/count-the-number-of-subarrays-with-given-xor-k/"
"find-the-repeating-and-missing-number","Q-21","Find the repeating and missing number",3,"Solve Problems on Arrays [Easy -> Medium -> Hard]","Hard","Hard","","https://takeuforward.org/data-structure/find-the-repeating-and-missing-numbers/"
"largest-subarray-with-sum-0","Q-605","Largest Subarray with Sum 0",3,"Solve Problems on Arrays [Easy -> Medium -> Hard]","Hard","Medium","","https://takeuforward.org/data-structure/length-of-the-longest-subarray-with-zero-sum/"
"majority-element-ii","Q-23","Majority Element-II",3,"Solve Problems on Arrays [Easy -> Medium -> Hard]","Hard","Hard","https://leetcode.com/problems/majority-element-ii/","https://takeuforward.org/data-structure/majority-elementsn-3-times-find-the-elements-that-appears-more-than-n-3-times-in-the-array/"
"maximum-product-subarray-in-an-array","Q-24","Maximum Product Subarray in an Array",3,"Solve Problems on Arrays [Easy -> Medium -> Hard]","Hard","Hard","https://leetcode.com/problems/maximum-product-subarray/","https://takeuforward.org/data-structure/maximum-product-subarray-in-an-array/"
"merge-overlapping-subintervals","Q-715","Merge Overlapping Subintervals",3,"Solve Problems on Arrays [Easy -> Medium -> Hard]","Hard","Medium","https://leetcode.com/problems/merge-intervals/","https://takeuforward.org/data-structure/merge-overlapping-sub-intervals/"
"merge-two-sorted-arrays-without-extra-space","Q-25","Merge two sorted arrays without extra space",3,"Solve Problems on Arrays [Easy -> Medium -> Hard]","Hard","Medium","https://leetcode.com/problems/merge-sorted-array/","https://takeuforward.org/data-structure/merge-two-sorted-arrays-without-extra-space/"
"pascal-s-triangle-i","Q-813","Pascal's Triangle I",3,"Solve Problems on Arrays [Easy -> Medium -> Hard]","Hard","Easy","https://leetcode.com/problems/pascals-triangle/","https://takeuforward.org/data-structure/program-to-generate-pascals-triangle"
"reverse-pairs","Q-26","Reverse Pairs",3,"Solve Problems on Arrays [Easy -> Medium -> Hard]","Hard","Hard","https://leetcode.com/problems/reverse-pairs/","https://takeuforward.org/data-structure/count-reverse-pairs/"
"count-occurrences-in-a-sorted-array","Q-229","Count Occurrences in a Sorted Array",4,"Binary Search [1D, 2D Arrays, Search Space]","BS on 1D Arrays","Easy","","https://takeuforward.org/data-structure/count-occurrences-in-sorted-array/"
"find-minimum-in-rotated-sorted-array","Q-83","Find minimum in Rotated Sorted Array",4,"Binary Search [1D, 2D Arrays, Search Space]","BS on 1D Arrays","Easy","https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/","https://takeuforward.org/data-structure/minimum-in-rotated-sorted-array/"
"find-out-how-many-times-the-array-is-rotated","Q-84","Find out how many times the array is rotated",4,"Binary Search [1D, 2D Arrays, Search Space]","BS on 1D Arrays","Easy","","https://takeuforward.org/arrays/find-out-how-many-times-the-array-has-been-rotated/"
"find-peak-element","Q-75","Find peak element",4,"Binary Search [1D, 2D Arrays, Search Space]","BS on 1D Arrays","Medium","https://leetcode.com/problems/find-peak-element/#:~:text=Find%20Peak%20Element%20%2D%20LeetCode&text=A%20peak%20element%20is%20an,to%20any%20of%20the%20peaks.","https://takeuforward.org/data-structure/peak-element-in-array/"
"first-and-last-occurrence","Q-85","First and last occurrence",4,"Binary Search [1D, 2D Arrays, Search Space]","BS on 1D Arrays","Easy","https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array/","https://takeuforward.org/data-structure/last-occurrence-in-a-sorted-array/"
"floor-and-ceil-in-sorted-array","Q-86","Floor and Ceil in Sorted Array",4,"Binary Search [1D, 2D Arrays, Search Space]","BS on 1D Arrays","Easy","","https://takeuforward.org/arrays/floor-and-ceil-in-sorted-array/"
"lower-bound","Q-80","Lower Bound",4,"Binary Search [1D, 2D Arrays, Search Space]","BS on 1D Arrays","Easy","","https://takeuforward.org/arrays/implement-lower-bound-bs-2/"
"search-in-rotated-sorted-array-i","Q-87","Search in rotated sorted array-I",4,"Binary Search [1D, 2D Arrays, Search Space]","BS on 1D Arrays","Medium","https://leetcode.com/problems/search-in-rotated-sorted-array/","https://takeuforward.org/data-structure/search-element-in-a-rotated-sorted-array/"
"search-in-rotated-sorted-array-ii","Q-88","Search in rotated sorted array-II",4,"Binary Search [1D, 2D Arrays, Search Space]","BS on 1D Arrays","Medium","https://leetcode.com/problems/search-in-rotated-sorted-array-ii/","https://takeuforward.org/arrays/search-element-in-rotated-sorted-array-ii"
"search-insert-position","Q-89","Search insert position",4,"Binary Search [1D, 2D Arrays, Search Space]","BS on 1D Arrays","Easy","https://leetcode.com/problems/search-insert-position/#:~:text=Search%20Insert%20Position%20%2D%20LeetCode&text=Given%20a%20sorted%20array%20of,(log%20n)%20runtime%20complexity.","https://takeuforward.org/arrays/search-insert-position/"
"search-x-in-sorted-array","Q-81","Search X in sorted array",4,"Binary Search [1D, 2D Arrays, Search Space]","BS on 1D Arrays","Easy","https://leetcode.com/problems/binary-search/","https://takeuforward.org/data-structure/binary-search-explained/"
"single-element-in-a-sorted-array","Q-2770","Single element in a Sorted Array",4,"Binary Search [1D, 2D Arrays, Search Space]","BS on 1D Arrays","Medium","https://leetcode.com/problems/single-element-in-a-sorted-array/","https://takeuforward.org/data-structure/search-single-element-in-a-sorted-array/"
"upper-bound","Q-82","Upper Bound",4,"Binary Search [1D, 2D Arrays, Search Space]","BS on 1D Arrays","Easy","","https://takeuforward.org/arrays/implement-upper-bound/"
"aggressive-cows","Q-73","Aggressive Cows",4,"Binary Search [1D, 2D Arrays, Search Space]","BS on Answers","Hard","","https://takeuforward.org/data-structure/aggressive-cows-detailed-solution/"
"book-allocation-problem","Q-74","Book Allocation Problem",4,"Binary Search [1D, 2D Arrays, Search Space]","BS on Answers","Hard","","https://takeuforward.org/data-structure/allocate-minimum-number-of-pages/"
"capacity-to-ship-packages-within-d-days","Q-161","Capacity to Ship Packages Within D Days",4,"Binary Search [1D, 2D Arrays, Search Space]","BS on Answers","Medium","https://leetcode.com/problems/capacity-to-ship-packages-within-d-days/","https://takeuforward.org/arrays/capacity-to-ship-packages-within-d-days/"
"find-nth-root-of-a-number","Q-91","Find Nth root of a number",4,"Binary Search [1D, 2D Arrays, Search Space]","BS on Answers","Medium","","https://takeuforward.org/data-structure/nth-root-of-a-number-using-binary-search/"
"find-square-root-of-a-number","Q-92","Find square root of a number",4,"Binary Search [1D, 2D Arrays, Search Space]","BS on Answers","Medium","","https://takeuforward.org/binary-search/finding-sqrt-of-a-number-using-binary-search/"
"find-the-smallest-divisor","Q-93","Find the smallest divisor",4,"Binary Search [1D, 2D Arrays, Search Space]","BS on Answers","Medium","https://leetcode.com/problems/find-the-smallest-divisor-given-a-threshold/","https://takeuforward.org/arrays/find-the-smallest-divisor-given-a-threshold/"
"koko-eating-bananas","Q-94","Koko eating bananas",4,"Binary Search [1D, 2D Arrays, Search Space]","BS on Answers","Medium","https://leetcode.com/problems/koko-eating-bananas/","https://takeuforward.org/binary-search/koko-eating-bananas/"
"kth-element-of-2-sorted-arrays","Q-2767","Kth element of 2 sorted arrays",4,"Binary Search [1D, 2D Arrays, Search Space]","BS on Answers","Medium","","https://takeuforward.org/data-structure/k-th-element-of-two-sorted-arrays/"
"kth-missing-positive-number","Q-600","Kth Missing Positive Number",4,"Binary Search [1D, 2D Arrays, Search Space]","BS on Answers","Medium","https://leetcode.com/problems/kth-missing-positive-number/#:~:text=Given%20an%20array%20arr%20of,13%2C...%5D.","https://takeuforward.org/arrays/kth-missing-positive-number/"
"minimize-max-distance-to-gas-station","Q-78","Minimize Max Distance to Gas Station",4,"Binary Search [1D, 2D Arrays, Search Space]","BS on Answers","Hard","https://leetcode.com/problems/minimize-max-distance-to-gas-station/","https://takeuforward.org/arrays/minimise-maximum-distance-between-gas-stations/"
"minimum-days-to-make-m-bouquets","Q-95","Minimum days to make M bouquets",4,"Binary Search [1D, 2D Arrays, Search Space]","BS on Answers","Medium","https://leetcode.com/problems/minimum-number-of-days-to-make-m-bouquets/","https://takeuforward.org/arrays/minimum-days-to-make-m-bouquets/"
"painter-s-partition","Q-805","Painter's Partition",4,"Binary Search [1D, 2D Arrays, Search Space]","BS on Answers","Medium","","https://takeuforward.org/arrays/painters-partition-problem/"
"split-array-largest-sum","Q-79","Split array - largest sum",4,"Binary Search [1D, 2D Arrays, Search Space]","BS on Answers","Hard","https://leetcode.com/problems/split-array-largest-sum/","https://takeuforward.org/arrays/split-array-largest-sum/"
"find-peak-element-ii","Q-65","Find Peak Element - II",4,"Binary Search [1D, 2D Arrays, Search Space]","BS on 2D Arrays","Medium","https://leetcode.com/problems/find-a-peak-element-ii/","https://takeuforward.org/data-structure/find-peak-element-2d-matrix"
"find-row-with-maximum-1-s","Q-66","Find row with maximum 1's",4,"Binary Search [1D, 2D Arrays, Search Space]","BS on 2D Arrays","Easy","","https://takeuforward.org/arrays/find-the-row-with-maximum-number-of-1s/"
"matrix-median","Q-67","Matrix Median",4,"Binary Search [1D, 2D Arrays, Search Space]","BS on 2D Arrays","Hard","","https://takeuforward.org/data-structure/median-of-row-wise-sorted-matrix/"
"search-in-2d-matrix-ii","Q-68","Search in 2D matrix - II",4,"Binary Search [1D, 2D Arrays, Search Space]","BS on 2D Arrays","Hard","https://leetcode.com/problems/search-a-2d-matrix-ii/","https://takeuforward.org/arrays/search-in-a-row-and-column-wise-sorted-matrix/"
"search-in-a-2d-matrix","Q-69","Search in a 2D matrix",4,"Binary Search [1D, 2D Arrays, Search Space]","BS on 2D Arrays","Hard","https://leetcode.com/problems/search-a-2d-matrix/","https://takeuforward.org/data-structure/search-in-a-sorted-2d-matrix/"
